alpha,alpha3,average_cost,batch_size,critic1 error,critic2 error,entropy,eplenmean,eplrewmean,eprewmean,lr_a,lr_c,lr_l,lyapunov error,lyapunov_lambda,policy_loss,target_entropy,tau,total_timesteps
0.03625398,,0.1777161165109445,,0.97726786,1.0214193,-0.9646033,249.6,0.0,44.357942681131746,4.882433333333334e-05,0.000146473,0.000146473,6.5435324,1.0,11.320265,,,153600
0.036052056,,0.16203026593996878,,0.7201216,0.74704003,-0.96810615,250.0,0.0,40.507566484992196,4.815766666666667e-05,0.00014447299999999997,0.00014447299999999997,6.544572,1.0,11.661649,,,155648
0.035581104,,0.14685309095854257,,1.0824139,1.1428684,-0.93904436,250.0,0.0,36.71327273963564,4.749100000000001e-05,0.000142473,0.000142473,7.1834135,1.0,11.349201,,,157696
0.03510246,,0.1321024812609769,,1.4265959,1.4920486,-0.97601444,250.0,0.0,33.025620315244225,4.682433333333334e-05,0.00014047299999999998,0.00014047299999999998,6.3416204,1.0,11.552366,,,159744
0.034353275,,0.11228818319468288,,0.80318326,0.8356306,-0.9755058,250.0,0.0,28.07204579867072,4.6074333333333334e-05,0.00013822299999999998,0.00013822299999999998,6.1941223,1.0,11.296191,,,161792
0.033759862,,0.1641676986989012,,0.8594676,0.903131,-0.9804748,247.6,0.0,40.64792219784793,4.5415666666666666e-05,0.00013624699999999998,0.00013624699999999998,6.2177997,1.0,11.456887,,,163840
0.03340095,,0.09784313397189184,,1.1106713,1.1411495,-0.9762683,250.0,0.0,24.46078349297296,4.474900000000001e-05,0.00013424700000000002,0.00013424700000000002,5.5080214,1.0,11.39001,,,165888
0.032764427,,0.14758321958045506,,0.9650488,1.0281425,-0.93816566,250.0,0.0,36.89580489511376,4.4082333333333337e-05,0.000132247,0.000132247,6.491675,1.0,11.186977,,,167936
0.03201959,,0.14197039093160982,,1.0529702,1.1149427,-0.9221228,250.0,0.0,35.49259773290245,4.3415666666666665e-05,0.00013024699999999997,0.00013024699999999997,5.439341,1.0,11.401914,,,169984
0.03112098,,0.13807613484869907,,0.9170648,0.93953687,-0.9221939,250.0,0.0,34.51903371217477,4.2665666666666674e-05,0.000127997,0.000127997,5.0598474,1.0,11.317289,,,172032
0.030397633,,0.07622501844026722,,0.6882871,0.7036639,-0.96568596,250.0,0.0,19.056254610066805,4.1999e-05,0.00012599699999999998,0.00012599699999999998,5.494752,1.0,11.301464,,,174080
0.029788757,,0.10915298247829328,,1.0753067,1.1099488,-0.9742352,250.0,0.0,27.28824561957332,4.133233333333334e-05,0.000123997,0.000123997,5.231616,1.0,11.151908,,,176128
0.029188681,,0.12904945221337652,,1.5301749,1.5888813,-0.9624076,250.0,0.0,32.26236305334413,4.0665666666666666e-05,0.00012199699999999999,0.00012199699999999999,6.74253,1.0,11.133696,,,178176
0.028576076,,0.16543802032631627,,1.686754,1.7316902,-0.95222604,250.0,0.0,41.359505081579066,3.9998999999999994e-05,0.00011999699999999998,0.00011999699999999998,6.833,1.0,11.385167,,,180224
0.027818631,,0.14505013330517372,,0.7255926,0.7707897,-0.95197916,250.0,0.0,36.26253332629343,3.9249e-05,0.000117747,0.000117747,5.6554756,1.0,11.551836,,,182272
0.027370501,,0.06514442794912319,,0.712349,0.732618,-0.94967365,250.0,0.0,16.286106987280796,3.858233333333333e-05,0.00011574699999999997,0.00011574699999999997,5.9680552,1.0,11.505769,,,184320
0.027078202,,0.10414789127344591,,1.0033038,1.0487566,-0.95283145,250.0,0.0,26.036972818361477,3.7915666666666674e-05,0.000113747,0.000113747,5.9004583,1.0,11.318786,,,186368
0.02668273,,0.16753907487777778,,0.93091667,0.95729417,-1.0220064,239.5,0.0,40.125608433227775,3.720066666666667e-05,0.000111602,0.000111602,6.4995437,1.0,11.216351,,,188416
0.026417937,,0.13292913817368482,,0.68954736,0.7030645,-0.9906678,239.5,0.0,31.836528592597517,3.6534e-05,0.00010960199999999999,0.00010960199999999999,6.1000857,1.0,11.243193,,,190464
0.026077995,,0.10990172670707463,,0.8021415,0.8219446,-0.98657036,250.0,0.0,27.475431676768657,3.586733333333333e-05,0.00010760199999999998,0.00010760199999999998,5.3179855,1.0,11.065096,,,192512
0.026148036,,0.12885817918169937,,0.7467955,0.7706409,-0.9971241,250.0,0.0,32.21454479542484,3.520066666666667e-05,0.000105602,0.000105602,5.233376,1.0,11.21557,,,194560
